KODE_KANTOR;KODE_JENIS_PINJAM;KETERANGAN_JENIS_PINJAM;JANUARI;FEBRUARI;MARET;APRIL;MEI;JUNI;JULI;AGUSTUS;SEPTEMBER;OKTOBER;NOVEMBER;DESEMBER
14;8;KREDIT ANGSURAN TETAP KHALIFAH ( KATK );1.003.973;1.202.263;623.294;1.406.170;771.922;517.631;1.017.911;658.371;676.601;302.178;236.212;528.442
14;12;KREDIT LINKAGE ANGSURAN TETAP (KAT);2.648.889;1.623.765;889.915;;;;;;;;;
14;19;KREDIT FINTECH ANGSURAN TETAP (KAT);9.136.413;8.950.204;8.761.511;8.570.302;8.376.544;8.180.203;7.981.243;7.779.631;7.575.331;7.368.307;7.158.522;
14;23;KREDIT TNI/POLRI;921.920.378;285.111.142;627.826.264;91.516.722;596.607.748;126.283.789;682.963.384;401.921.867;325.448.783;409.638.393;325.860.183;127.431.703
14;24;KREDIT KOPi 2;28.295.121;33.437.903;36.672.500;42.966.695;55.137.417;54.078.744;60.294.917;59.475.686;87.441.227;101.275.558;133.956.835;184.643.624
15;1;KREDIT ANGSURAN TETAP (KAT);106.810.741;56.335.835;146.175.175;102.904.369;47.959.296;95.215.217;80.335.986;73.454.652;83.426.024;108.082.154;35.112.431;71.729.860
15;3;KREDIT TETAP KARYAWAN (KTK);4.092.321;4.049.512;4.006.454;5.654.812;4.551.680;4.506.810;3.664.197;4.490.766;3.697.983;3.646.247;3.614.079;3.516.034
15;8;KREDIT ANGSURAN TETAP KHALIFAH ( KATK );;;;;;;;;;;;102.083
15;23;KREDIT TNI/POLRI;4.389.583;1.338.760;991.262;1.249.896;1.306.889;1.048.060;940.653;732.189;814.140;707.237;525.638;779.170
15;24;KREDIT KOPi 2;556.751.263;626.608.693;608.275.903;574.822.162;625.821.517;642.772.122;689.507.156;708.806.003;750.879.751;742.422.030;734.092.460;742.518.138
15;25;KREDIT SERTIFIKASI/TUKIN KARYAWAN;14.235.333;12.342.096;27.645.667;18.587.272;15.692.835;14.759.105;20.629.909;13.325.282;21.840.456;14.769.753;12.441.458;17.255.842
